Brasil e Grande Região;Trimestre;Nível de instrução;Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Brasil;2º trimestre 2022;Ensino médio completo ou equivalente;4112
Brasil;2º trimestre 2022;Ensino superior incompleto ou equivalente;663
Brasil;2º trimestre 2022;Ensino superior completo ou equivalente;1051
Brasil;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;179
Brasil;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;1782
Brasil;3º trimestre 2022;Ensino fundamental completo ou equivalente;790
Brasil;3º trimestre 2022;Ensino médio incompleto ou equivalente;1234
Brasil;3º trimestre 2022;Ensino médio completo ou equivalente;3739
Brasil;3º trimestre 2022;Ensino superior incompleto ou equivalente;622
Brasil;3º trimestre 2022;Ensino superior completo ou equivalente;927
Brasil;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;159
Brasil;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;1691
Brasil;4º trimestre 2022;Ensino fundamental completo ou equivalente;716
Brasil;4º trimestre 2022;Ensino médio incompleto ou equivalente;1127
Brasil;4º trimestre 2022;Ensino médio completo ou equivalente;3268
Brasil;4º trimestre 2022;Ensino superior incompleto ou equivalente;551
Brasil;4º trimestre 2022;Ensino superior completo ou equivalente;898
Brasil;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;150
Brasil;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;1675
Brasil;1º trimestre 2023;Ensino fundamental completo ou equivalente;757
Brasil;1º trimestre 2023;Ensino médio incompleto ou equivalente;1185
Brasil;1º trimestre 2023;Ensino médio completo ou equivalente;3840
Brasil;1º trimestre 2023;Ensino superior incompleto ou equivalente;613
Brasil;1º trimestre 2023;Ensino superior completo ou equivalente;1026
Brasil;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;138
Brasil;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;1510
Brasil;2º trimestre 2023;Ensino fundamental completo ou equivalente;720
Brasil;2º trimestre 2023;Ensino médio incompleto ou equivalente;1060
Brasil;2º trimestre 2023;Ensino médio completo ou equivalente;3598
Brasil;2º trimestre 2023;Ensino superior incompleto ou equivalente;555
Brasil;2º trimestre 2023;Ensino superior completo ou equivalente;887
Brasil;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;144
Brasil;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;1466
Brasil;3º trimestre 2023;Ensino fundamental completo ou equivalente;744
Brasil;3º trimestre 2023;Ensino médio incompleto ou equivalente;1059
Brasil;3º trimestre 2023;Ensino médio completo ou equivalente;3363
Brasil;3º trimestre 2023;Ensino superior incompleto ou equivalente;563
Brasil;3º trimestre 2023;Ensino superior completo ou equivalente;812
Brasil;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;132
Brasil;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;1506
Brasil;4º trimestre 2023;Ensino fundamental completo ou equivalente;716
Brasil;4º trimestre 2023;Ensino médio incompleto ou equivalente;1028
Brasil;4º trimestre 2023;Ensino médio completo ou equivalente;3181
Brasil;4º trimestre 2023;Ensino superior incompleto ou equivalente;500
Brasil;4º trimestre 2023;Ensino superior completo ou equivalente;862
Brasil;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;130
Brasil;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;1451
Brasil;1º trimestre 2024;Ensino fundamental completo ou equivalente;687
Brasil;1º trimestre 2024;Ensino médio incompleto ou equivalente;1070
Brasil;1º trimestre 2024;Ensino médio completo ou equivalente;3514
Brasil;1º trimestre 2024;Ensino superior incompleto ou equivalente;616
Brasil;1º trimestre 2024;Ensino superior completo ou equivalente;984
Brasil;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;115
Brasil;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;1274
Brasil;2º trimestre 2024;Ensino fundamental completo ou equivalente;611
Brasil;2º trimestre 2024;Ensino médio incompleto ou equivalente;882
Brasil;2º trimestre 2024;Ensino médio completo ou equivalente;3133
Brasil;2º trimestre 2024;Ensino superior incompleto ou equivalente;486
Brasil;2º trimestre 2024;Ensino superior completo ou equivalente;887
Brasil;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;125
Brasil;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;1161
Brasil;3º trimestre 2024;Ensino fundamental completo ou equivalente;599
Brasil;3º trimestre 2024;Ensino médio incompleto ou equivalente;846
Brasil;3º trimestre 2024;Ensino médio completo ou equivalente;2840
Brasil;3º trimestre 2024;Ensino superior incompleto ou equivalente;491
Brasil;3º trimestre 2024;Ensino superior completo ou equivalente;791
Brasil;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;122
Brasil;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;1196
Brasil;4º trimestre 2024;Ensino fundamental completo ou equivalente;539
Brasil;4º trimestre 2024;Ensino médio incompleto ou equivalente;784
Brasil;4º trimestre 2024;Ensino médio completo ou equivalente;2786
Brasil;4º trimestre 2024;Ensino superior incompleto ou equivalente;438
Brasil;4º trimestre 2024;Ensino superior completo ou equivalente;819
Brasil;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;105
Brasil;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;1206
Brasil;1º trimestre 2025;Ensino fundamental completo ou equivalente;557
Brasil;1º trimestre 2025;Ensino médio incompleto ou equivalente;806
Brasil;1º trimestre 2025;Ensino médio completo ou equivalente;3354
Brasil;1º trimestre 2025;Ensino superior incompleto ou equivalente;546
Brasil;1º trimestre 2025;Ensino superior completo ou equivalente;993
Brasil;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;60
Brasil;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;986
Brasil;2º trimestre 2025;Ensino fundamental completo ou equivalente;457
Brasil;2º trimestre 2025;Ensino médio incompleto ou equivalente;691
Brasil;2º trimestre 2025;Ensino médio completo ou equivalente;2800
Brasil;2º trimestre 2025;Ensino superior incompleto ou equivalente;421
Brasil;2º trimestre 2025;Ensino superior completo ou equivalente;839
Norte;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;7
Norte;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;155
Norte;1º trimestre 2015;Ensino fundamental completo ou equivalente;77
Norte;1º trimestre 2015;Ensino médio incompleto ou equivalente;88
Norte;1º trimestre 2015;Ensino médio completo ou equivalente;258
Norte;1º trimestre 2015;Ensino superior incompleto ou equivalente;39
Norte;1º trimestre 2015;Ensino superior completo ou equivalente;46
Norte;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;9
Norte;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;153
Norte;2º trimestre 2015;Ensino fundamental completo ou equivalente;81
Norte;2º trimestre 2015;Ensino médio incompleto ou equivalente;78
Norte;2º trimestre 2015;Ensino médio completo ou equivalente;254
Norte;2º trimestre 2015;Ensino superior incompleto ou equivalente;47
Norte;2º trimestre 2015;Ensino superior completo ou equivalente;40
Norte;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;15
Norte;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;154
Norte;3º trimestre 2015;Ensino fundamental completo ou equivalente;70
Norte;3º trimestre 2015;Ensino médio incompleto ou equivalente;91
Norte;3º trimestre 2015;Ensino médio completo ou equivalente;270
Norte;3º trimestre 2015;Ensino superior incompleto ou equivalente;47
Norte;3º trimestre 2015;Ensino superior completo ou equivalente;45
Norte;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;10
Norte;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;141
Norte;4º trimestre 2015;Ensino fundamental completo ou equivalente;67
Norte;4º trimestre 2015;Ensino médio incompleto ou equivalente;96
Norte;4º trimestre 2015;Ensino médio completo ou equivalente;274
Norte;4º trimestre 2015;Ensino superior incompleto ou equivalente;47
Norte;4º trimestre 2015;Ensino superior completo ou equivalente;41
Norte;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;14
Norte;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;176
Norte;1º trimestre 2016;Ensino fundamental completo ou equivalente;93
Norte;1º trimestre 2016;Ensino médio incompleto ou equivalente;113
Norte;1º trimestre 2016;Ensino médio completo ou equivalente;316
Norte;1º trimestre 2016;Ensino superior incompleto ou equivalente;57
Norte;1º trimestre 2016;Ensino superior completo ou equivalente;57
Norte;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;18
Norte;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;188
Norte;2º trimestre 2016;Ensino fundamental completo ou equivalente;90
Norte;2º trimestre 2016;Ensino médio incompleto ou equivalente;115
Norte;2º trimestre 2016;Ensino médio completo ou equivalente;355
Norte;2º trimestre 2016;Ensino superior incompleto ou equivalente;62
Norte;2º trimestre 2016;Ensino superior completo ou equivalente;57
Norte;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;20
Norte;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;181
Norte;3º trimestre 2016;Ensino fundamental completo ou equivalente;100
Norte;3º trimestre 2016;Ensino médio incompleto ou equivalente;124
Norte;3º trimestre 2016;Ensino médio completo ou equivalente;345
Norte;3º trimestre 2016;Ensino superior incompleto ou equivalente;66
Norte;3º trimestre 2016;Ensino superior completo ou equivalente;55
Norte;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;22
Norte;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;230
Norte;4º trimestre 2016;Ensino fundamental completo ou equivalente;94
Norte;4º trimestre 2016;Ensino médio incompleto ou equivalente;146
Norte;4º trimestre 2016;Ensino médio completo ou equivalente;383
Norte;4º trimestre 2016;Ensino superior incompleto ou equivalente;67
Norte;4º trimestre 2016;Ensino superior completo ou equivalente;60
Norte;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;20
Norte;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;244
Norte;1º trimestre 2017;Ensino fundamental completo ou equivalente;101
Norte;1º trimestre 2017;Ensino médio incompleto ou equivalente;131
Norte;1º trimestre 2017;Ensino médio completo ou equivalente;456
Norte;1º trimestre 2017;Ensino superior incompleto ou equivalente;65
Norte;1º trimestre 2017;Ensino superior completo ou equivalente;91
Norte;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;17
Norte;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;212
Norte;2º trimestre 2017;Ensino fundamental completo ou equivalente;91
Norte;2º trimestre 2017;Ensino médio incompleto ou equivalente;127
Norte;2º trimestre 2017;Ensino médio completo ou equivalente;401
Norte;2º trimestre 2017;Ensino superior incompleto ou equivalente;59
Norte;2º trimestre 2017;Ensino superior completo ou equivalente;76
Norte;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;15
Norte;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;209
Norte;3º trimestre 2017;Ensino fundamental completo ou equivalente;96
Norte;3º trimestre 2017;Ensino médio incompleto ou equivalente;132
Norte;3º trimestre 2017;Ensino médio completo ou equivalente;380
Norte;3º trimestre 2017;Ensino superior incompleto ou equivalente;61
Norte;3º trimestre 2017;Ensino superior completo ou equivalente;76
Norte;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;14
Norte;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;203
Norte;4º trimestre 2017;Ensino fundamental completo ou equivalente;79
Norte;4º trimestre 2017;Ensino médio incompleto ou equivalente;122
Norte;4º trimestre 2017;Ensino médio completo ou equivalente;358
Norte;4º trimestre 2017;Ensino superior incompleto ou equivalente;57
Norte;4º trimestre 2017;Ensino superior completo ou equivalente;71
Norte;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;21
Norte;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;216
Norte;1º trimestre 2018;Ensino fundamental completo ou equivalente;91
Norte;1º trimestre 2018;Ensino médio incompleto ou equivalente;117
Norte;1º trimestre 2018;Ensino médio completo ou equivalente;405
Norte;1º trimestre 2018;Ensino superior incompleto ou equivalente;78
Norte;1º trimestre 2018;Ensino superior completo ou equivalente;83
Norte;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;16
Norte;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;202
Norte;2º trimestre 2018;Ensino fundamental completo ou equivalente;73
Norte;2º trimestre 2018;Ensino médio incompleto ou equivalente;121
Norte;2º trimestre 2018;Ensino médio completo ou equivalente;390
Norte;2º trimestre 2018;Ensino superior incompleto ou equivalente;77
Norte;2º trimestre 2018;Ensino superior completo ou equivalente;85
Norte;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14
Norte;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;214
Norte;3º trimestre 2018;Ensino fundamental completo ou equivalente;84
Norte;3º trimestre 2018;Ensino médio incompleto ou equivalente;113
Norte;3º trimestre 2018;Ensino médio completo ou equivalente;353
Norte;3º trimestre 2018;Ensino superior incompleto ou equivalente;73
Norte;3º trimestre 2018;Ensino superior completo ou equivalente;82
Norte;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;15
Norte;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;193
Norte;4º trimestre 2018;Ensino fundamental completo ou equivalente;70
Norte;4º trimestre 2018;Ensino médio incompleto ou equivalente;126
Norte;4º trimestre 2018;Ensino médio completo ou equivalente;383
Norte;4º trimestre 2018;Ensino superior incompleto ou equivalente;78
Norte;4º trimestre 2018;Ensino superior completo ou equivalente;85
Norte;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;12
Norte;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;193
Norte;1º trimestre 2019;Ensino fundamental completo ou equivalente;75
Norte;1º trimestre 2019;Ensino médio incompleto ou equivalente;134
Norte;1º trimestre 2019;Ensino médio completo ou equivalente;447
Norte;1º trimestre 2019;Ensino superior incompleto ou equivalente;90
Norte;1º trimestre 2019;Ensino superior completo ou equivalente;105
Norte;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;14
Norte;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;182
Norte;2º trimestre 2019;Ensino fundamental completo ou equivalente;84
Norte;2º trimestre 2019;Ensino médio incompleto ou equivalente;118
Norte;2º trimestre 2019;Ensino médio completo ou equivalente;392
Norte;2º trimestre 2019;Ensino superior incompleto ou equivalente;83
Norte;2º trimestre 2019;Ensino superior completo ou equivalente;92
Norte;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;15
Norte;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;195
Norte;3º trimestre 2019;Ensino fundamental completo ou equivalente;72
Norte;3º trimestre 2019;Ensino médio incompleto ou equivalente;133
Norte;3º trimestre 2019;Ensino médio completo ou equivalente;382
Norte;3º trimestre 2019;Ensino superior incompleto ou equivalente;72
Norte;3º trimestre 2019;Ensino superior completo ou equivalente;99
Norte;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;9
Norte;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;169
Norte;4º trimestre 2019;Ensino fundamental completo ou equivalente;65
Norte;4º trimestre 2019;Ensino médio incompleto ou equivalente;107
Norte;4º trimestre 2019;Ensino médio completo ou equivalente;367
Norte;4º trimestre 2019;Ensino superior incompleto ou equivalente;62
Norte;4º trimestre 2019;Ensino superior completo ou equivalente;85
Norte;1º trimestre 2022;Sem instrução e menos de 1 ano de estudo;...
Norte;1º trimestre 2022;Ensino fundamental incompleto ou equivalente;...
Norte;1º trimestre 2022;Ensino fundamental completo ou equivalente;...
Norte;1º trimestre 2022;Ensino médio incompleto ou equivalente;...
Norte;1º trimestre 2022;Ensino médio completo ou equivalente;...
Norte;1º trimestre 2022;Ensino superior incompleto ou equivalente;...
Norte;1º trimestre 2022;Ensino superior completo ou equivalente;...
Norte;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;12
Norte;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;123
Norte;2º trimestre 2022;Ensino fundamental completo ou equivalente;52
Norte;2º trimestre 2022;Ensino médio incompleto ou equivalente;90
Norte;2º trimestre 2022;Ensino médio completo ou equivalente;328
Norte;2º trimestre 2022;Ensino superior incompleto ou equivalente;62
Norte;2º trimestre 2022;Ensino superior completo ou equivalente;85
Norte;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;14
Norte;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;111
Norte;3º trimestre 2022;Ensino fundamental completo ou equivalente;60
Norte;3º trimestre 2022;Ensino médio incompleto ou equivalente;81
Norte;3º trimestre 2022;Ensino médio completo ou equivalente;297
Norte;3º trimestre 2022;Ensino superior incompleto ou equivalente;56
Norte;3º trimestre 2022;Ensino superior completo ou equivalente;75
Norte;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;15
Norte;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;120
Norte;4º trimestre 2022;Ensino fundamental completo ou equivalente;48
Norte;4º trimestre 2022;Ensino médio incompleto ou equivalente;93
Norte;4º trimestre 2022;Ensino médio completo ou equivalente;285
Norte;4º trimestre 2022;Ensino superior incompleto ou equivalente;60
Norte;4º trimestre 2022;Ensino superior completo ou equivalente;63
Norte;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;12
